Source,Target,Weight
A100ZTESFDD58F,B000067EH7,5
A100ZTESFDD58F,B00008CQLS,4
A100ZTESFDD58F,B00008CQLS,4
A100ZTESFDD58F,B00005YVRN,4
A100ZTESFDD58F,B00006FWVR,2
A100ZTESFDD58F,B000096NQU,4
A100ZTESFDD58F,B0000A9XYV,5
A100ZTESFDD58F,B0000A41XI,5
A100ZTESFDD58F,B000070IW1,5
A100ZTESFDD58F,B000056JCY,5
A100ZTESFDD58F,B00005C45K,5
A100ZTESFDD58F,B00005LC08,5
A100ZTESFDD58F,B00009VE5J,5
A100ZTESFDD58F,B0009IW9HK,2
A100ZTESFDD58F,B00005IAYG,4
A1021X1F41GBCJ,B0001NE3Q8,5
A1021X1F41GBCJ,B00005C6OI,5
A1021X1F41GBCJ,B000324Y7U,5
A1021X1F41GBCJ,B000056J63,4
A1021X1F41GBCJ,B000056HK2,5
A1021X1F41GBCJ,B000088UOR,5
A1021X1F41GBCJ,B0000634T0,5
A1021X1F41GBCJ,B00005BLM6,5
A1021X1F41GBCJ,B0001NE3T0,5
A1021X1F41GBCJ,B0000DH5TX,4
A1021X1F41GBCJ,B0009Z3JX6,5
A1021X1F41GBCJ,B00028YSU8,4
A1021X1F41GBCJ,B00003TL7P,4
A10UA219PG4Q74,787968056,5
A10UA219PG4Q74,1580537138,4
A10UA219PG4Q74,932633528,5
A10UA219PG4Q74,B0009G0L5O,3
A10UA219PG4Q74,201752832,1
A10UA219PG4Q74,B0002U0E5Y,1
A10UA219PG4Q74,679734163,4
A10UA219PG4Q74,B00000F7AE,4
A10UA219PG4Q74,B00004BZIY,5
A10UA219PG4Q74,B0007RTBOM,5
A10UA219PG4Q74,672312905,4
A10UA219PG4Q74,201447878,5
A10UA219PG4Q74,345387651,5
A10UA219PG4Q74,345387651,5
A10UA219PG4Q74,446600466,3
A10UA219PG4Q74,740703579,3
A10UA219PG4Q74,B00002K10B,4
A10UA219PG4Q74,471253839,5
A10UA219PG4Q74,471052906,5
A10UA219PG4Q74,521466490,5
A10UA219PG4Q74,137483104,5
A10UA219PG4Q74,013464462X,5
A10UA219PG4Q74,134645790,3
A10UA219PG4Q74,70529558,5
