id,life_time,max_numOf_reviews_daily,early_review_ratio,rating_distribution,repeated_rating,review_summary_duplicate,helpfulness_score,rating_deviation,clustering_coefficient,betweeness,degree,label
A2AFSJMXVDKBFM,729,6,0.125,0.375,0,0.066387575,10,0.5,0.581031977,0.000292281,129,0
A2Y67I6C50BBJY,995,4,0.288888889,0.4,1,0.025793801,369,0.511111111,0.553467701,0.000637098,227,1
A3MQQQIMFUBRV5,1321,3,0.307692308,0.538461538,0,0.042193223,134,0.461538462,0.763636364,1.73E-05,11,1
A2N8QSGMOLXFUN,0,3,0,1,0,1,6,0,1,0,6,1
A1Z54EM24Y40LL,1078,24,0.408602151,0.758832565,5,0.033131405,2244,0.894009217,0.45328076,0.007975052,315,0
A3P455OC79MY6I,143,3,0,0.666666667,1,0.152533963,15,0.333333333,0.696020445,0.000208063,166,0
A1XGDOMTTP3XLK,0,4,1,1,0,1,3,1,0,0,1,1
A100ZTESFDD58F,484,4,0.066666667,0.533333333,1,0.043033461,51,0.266666667,0.644765223,0.00045073,246,0
A2B7BUH8834Y6M,2249,43,0.517647059,0.752941176,0,0.009974684,12539,0.868235294,0.369690792,0.00339829,109,1
A3MI8RN7408373,34,8,0,0.411764706,0,0.021791226,19,0,0.52613316,0.001389221,319,0
A36XQZOO796HZ6,0,8,0,0.625,0,0.065776954,4,0.375,0.649802272,0.000318056,179,1
A1MC04RAVMYA7E,1,8,0,0.9,0,0.015687702,18,0.1,0.613085315,0.000615147,262,0
ATY1TGX2BDL53,1242,7,0.075,0.525,0,0.0301373,88,0.475,0.525103632,0.010363725,354,0
A1CJ9W0FTHC1O8,11,5,1,1,0,0.006011905,22,1,0,0,1,1
APCH7TQ8F5M3W,10,2,0,1,0,0.043152644,3,0.333333333,0.750730282,5.34E-05,79,0
A1MGLS3OI7RJWG,116,6,0,0.818181818,0,0.014252096,30,0.181818182,0.641600515,0.000473572,237,0
A3MIXP7LPB07IC,0,5,0,1,1,0.129047232,6,0.4,0.833236265,3.89E-05,102,1
A361FIH2WLTR5X,237,6,0.130434783,0.739130435,0,0.04017294,35,0.52173913,0.716012253,0.000293095,190,1
A3URRTIZEE8R7W,0,3,0.333333333,1,0,0.053878786,-1,0.666666667,1,0,3,1
A37PV5GMP2ILJC,1337,4,0.266578249,0.287798408,0,0.009051748,6493,0.766578249,0.293706294,0.008685197,144,0
A3IBOQ8R44YG9L,1768,9,0.368,0.664,5,0.024520249,2420,0.776,0.351876979,0.001954595,67,1
A2IMEF2CCT5RVQ,378,8,0.153846154,0.307692308,0,0.012795129,87,0.384615385,0.60530329,0.000611966,254,0
AIUGQ4PNB8T6P,1092,4,0.317460317,0.650793651,4,0.025785598,484,0.761904762,0.354285714,0.001143428,50,1
A12C0UER29529W,347,12,0.280701754,0.51754386,0,0.02326315,895,0.48245614,0.5333653,0.004294661,388,0
A2P9D5GMCTVZA5,89,3,0.153846154,0.692307692,0,0.020417201,34,0.384615385,0.642636577,0.000779696,294,0
A320RTTX245ZKM,229,2,0,0.75,0,0,10,0,0.702689269,0.000426793,277,0
AGHZXQL9F94T9,1245,8,0.424242424,0.383838384,3,0.031755416,2235,0.474747475,0.325341325,0.005879134,78,1
AQYYUN3T7B0WM,753,4,0.244444444,0.533333333,3,0.024349016,1176,0.555555556,0.669998233,0.000596231,282,0
A2PGJ6XD5T5300,104,4,0,0.111111111,0,0.01500782,15,0,0.613693539,0.000666829,265,0
A2G2QNKDL1Y6AC,1546,4,0.288135593,0.677966102,0,0.029066834,2263,0.644067797,0.377819549,0.000694387,57,1
A2HFZZNLXB0D80,237,2,0,0.428571429,0,0.028020955,11,0,0.625287709,0.000853355,343,0
A3PE2RN8J6KGO9,65,4,0,0.75,0,0.032829233,35,0.5,0.774327122,0.000239807,253,1
A2GZX4MOA9D534,0,8,0,0.625,0,0.064669394,24,0.25,0.586446304,0.00077367,293,0
AEK5GOE7UFP2P,222,10,0.092592593,0.685185185,0,0.031139343,306,0.462962963,0.525418863,0.001957756,392,0
A1YINATRVM4GB8,0,8,0,0.75,0,0.033885672,-2,0.125,0.607043407,0.00011995,111,1
A282FSXASVMPXT,61,4,0.142857143,0.714285714,0,0.048047755,12,0,0.677754571,0.000558525,279,0
A22ZQG6JB5MEIB,472,7,0.090909091,0.727272727,0,0,23,0.454545455,0.685035159,0.000553172,274,0
A3NM0RAYSL6PA8,3017,6,0.253807107,0.406091371,0,0.013619658,1781,0.461928934,0.396068796,0.002862455,111,1
A3U9APZ2Z61XN0,84,5,0,0.5,0,0.041606797,58,0.333333333,0.639717979,0.000394379,185,0
A3CAS0IL2ORA50,104,7,0.083333333,0.583333333,0,0.02734387,51,0.333333333,0.676896417,0.000647909,268,0
A2GH7T0J1FRX06,832,11,0.510638298,0.872340426,6,0.14744782,772,0.829787234,0.5,0.000172408,8,1
A2CEF79A2TSV4T,242,3,0,0.555555556,0,0.060728496,70,0.444444444,0.644314974,0.000750046,334,0
A1ZPZNULFUAU2D,1908,16,0.230366492,0.366492147,10,0.026358969,395,0.696335079,0.536026936,0.000394501,55,1
ALRCAGJOJ9583,446,7,0.214285714,0.714285714,0,0.237793748,57,0.214285714,0.166666667,0.002360454,4,1
AUI4PY52AUM77,864,2,0.166666667,1,0,0.035256496,21,0.666666667,0.666666667,1.14E-05,7,1
AUPUZ14778SD7,396,5,0.069767442,0.604651163,0,0.036897735,420,0.325581395,0.508768143,0.002743273,431,0
AY8Q1X7G96HV5,392,13,0.242718447,0.446601942,6,0.018555451,160,0.669902913,0.504983389,0.000315921,43,1
A1A0MQ7SN8Z60D,1,3,0,0.75,0,0.5,2,0.25,0.926470588,9.42E-07,17,0
A3VZMO8JDPR9UU,81,2,0,0.5,0,0.048582926,26,0.166666667,0.708193339,0.003986899,261,1
A2GIR7JODJ012V,5,7,0,0.666666667,0,0.05477034,27,0.222222222,0.654220779,0.000285935,176,0
A2ZM9BGE3K3SY2,1072,39,0.464220183,0.594495413,9,0.019798525,2318,0.708256881,0.35731659,0.057304039,498,1
A1XCKXGQXLB086,0,3,0,1,0,0,4,0.666666667,1,0,6,1
AXOADEIH0LFC2,0,5,0,0.6,0,0.027582674,7,0.2,0.75991778,0.000106955,140,0
AAXIW3SRA0S4R,1780,37,0.207492795,0.847262248,1,0.020986771,4297,0.95389049,0.605820106,0.002621982,28,1
AU4DWPG1M5CKY,1445,12,0,0.588235294,1,0.028092993,-8,0.529411765,0.613693539,0.000629322,265,0
AIVVZ0LWBN595,1495,3,0.111111111,0.481481481,0,0.033264764,184,0.555555556,0.513626834,0.000629956,54,0
A2DQ9OB2YUVSZM,1,10,0,0.615384615,0,0.019704136,-4,0.076923077,0.666052416,0.000583306,297,0
A1Y5TKLXGSSPLQ,0,12,0.083333333,0.416666667,0,0.023739483,12,0.25,0.520938023,0.0005823,199,1
A2OSRYQUQUALEG,0,6,0.166666667,0.5,0,0.053608708,17,0,0.682658765,0.000673661,309,0
A3MEIR72XKQY88,710,4,0.34375,0.53125,2,0.025768179,411,0.53125,0.679841897,8.58E-05,23,1
A1IVC19Z1WNITW,149,3,0,0.75,0,0.042749786,5,0.25,0.716330162,0.000370292,279,0
A1NBDFURUPJQAJ,0,4,0,1,0,0.5,11,0.5,0.732931727,5.49E-05,84,1
A1HH6Z1DU7EJQH,63,7,0.071428571,0.714285714,0,0.024190998,41,0.357142857,0.705783268,0.00046518,274,0
AQAZFRLATG3OZ,616,2,0.285714286,0.857142857,1,0.125557971,45,1,0.833333333,1.86E-07,4,1
AHZ7WH9K4DSBP,0,10,0.1,0.8,0,0.054820091,362,0.3,0.629140879,0.000863489,343,0
A3CHKT5JI3XIFL,455,4,0.0625,0.5,0,0.122203506,7,0.4375,0.599751591,0.000153741,114,1
AL4W0UX9P1H0V,0,4,1,1,0,0.14593041,5,1,0,0,1,1
A9REEKTBGZ5W0,407,11,0.12987013,0.467532468,0,0.021037056,76,0.597402597,0.49748408,0.006692408,310,0
A3I9J4BE0ZSTL5,59,19,0,0.904761905,0,0.047900064,34,0.19047619,0.548433048,0.001240225,325,0
A1MWAL2OSVZMKS,39,3,0,0.333333333,0,0.007286609,21,0.333333333,0.714436806,3.65E-05,62,0
AD0J5KK4WQXNS,1707,17,0.117414248,0.755936675,8,0.013718677,3231,0.711081794,0.347385195,0.005128724,118,1
AZDWMXH6XZEDT,0,3,0,1,0,0.191996278,32,0,0.933333333,5.88E-07,6,1
A12D7ROCUOZVP8,258,13,0.071428571,0.714285714,0,0.059417293,47,0.5,0.511780966,0.000609731,214,1
ARXU3FESTWMJJ,3177,9,0.265486726,0.504424779,1,0.030432764,1389,0.672566372,0.388405797,0.001949218,70,0
AX8SWWB9837TA,1288,8,0.102941176,0.551470588,1,0.019994995,1243,0.705882353,0.438611589,0.0012189,84,1
A3VGKVXQD3LWHO,11,4,0,0.833333333,0,0.104485254,9,0.166666667,0.604325162,0.000338213,169,1
A2611L97GGZH5,1867,3,0.181818182,0.818181818,0,0.030814778,275,0.272727273,0.678094675,0.000602833,202,0
A2D6B8N0CTJ28L,355,4,0.125,0.75,0,0.134967186,8,0.5,0.725553013,9.00E-05,115,0
AK5PXCJZPBA67,0,6,0,0.833333333,0,0.128312817,28,0.166666667,0.79362143,0.000211153,233,0
A34I45DZFU6JND,178,10,0,0.538461538,0,0.041385357,25,0.153846154,0.547973405,0.001772848,396,0
A1PPD5TOR6VVYV,2464,3,0.213872832,0.699421965,7,0.013645408,766,0.832369942,0.417297297,0.001137207,75,1
A32AKKZRP848H8,2531,8,0.38,0.42,1,0.037688132,444,0.54,0.394736842,0.00299387,20,1
A25MKAIW8L3251,473,6,0.214285714,0.5,0,0.046790657,37,0.285714286,0.587949143,0.000248888,135,0
A23DQEPYHSHASK,0,3,0,1,0,0.115622323,1,0.666666667,0.679614325,0.000112567,121,0
AJGF1C6A6P8JP,56,5,0.2,0.65,0,0.016334155,45,0.4,0.487751102,0.000745161,157,0
